name,target_rva,target_size,source,notes
?Invalidate@DX8MeshRendererClass@@QAEX_N@Z,0x00145FA0,265,Code/Libraries/Source/WWVegas/WW3D2/WW3D_SetNPatchesLevelThunk.cpp,reloc-derived;call-sites=2;identity=real
?Render@DX8TextureCategoryClass@@QAEXXZ,0x00146F50,4095,Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp,reloc-derived;call-sites=1;identity=real
?Check@Rva0093C4A0Target@@QAE_NPBGPAGH@Z,0x00154580,172,Code/Libraries/Source/WWVegas/WW3D2/Rva0093C870ChildCheck.cpp,reloc-derived;call-sites=2;identity=generated
?Create_GDI_Font@FontCharsClass@@AAEXPBD@Z,0x00154630,488,Code/Libraries/Source/WWVegas/WW3D2/FontCharsClass_Initialize_GDI_Font_BFME.cpp,reloc-derived;call-sites=1;identity=real
?Store_GDI_Char@FontCharsClass@@AAEPBVFontCharsClassCharDataStruct@@G@Z,0x00157FF0,1317,Code/Libraries/Source/WWVegas/WW3D2/FontCharsClassGetCharData.cpp,reloc-derived;call-sites=1;identity=real
?Build_Sentence_Not_Centered@Render2DSentenceClass@@AAE?AVVector2@@PBGPAH1_N@Z,0x00159700,2199,Code/Libraries/Source/WWVegas/WW3D2/render2dsentence.cpp,reloc-derived;call-sites=1;identity=real
??0TexBufferClass@@QAE@HPBD@Z,0x0015D080,62,Code/Libraries/Source/WWVegas/WW3D2/meshmatdesc.cpp,reloc-derived;call-sites=1;identity=real
?Simple_Evaluate_Pivot@HTreeClass@@QBE_NHABVMatrix3D@@PAV2@@Z,0x001606E0,1144,Code/Libraries/Source/WWVegas/WW3D2/animobj.cpp,reloc-derived;call-sites=1;identity=real
?bfmeRva00161350@@YAPAUBfmeRva00161350Elem@@PAU1@00ABUBfmeRva00161350Tag@@PAH@Z,0x00161350,401,Code/Libraries/Source/WWVegas/WW3D2/HTreeClassFree.cpp,reloc-derived;call-sites=1;identity=generated
?Simple_Evaluate_Pivot@HTreeClass@@QBE_NPAVHAnimClass@@HMABVMatrix3D@@PAV3@@Z,0x00161700,2338,Code/Libraries/Source/WWVegas/WW3D2/animobj.cpp,reloc-derived;call-sites=1;identity=real
?Base_Update@HTreeClass@@QAEXABVMatrix3D@@@Z,0x001628A0,761,Code/Libraries/Source/WWVegas/WW3D2/animobj.cpp,reloc-derived;call-sites=1;identity=real
?Blend_Update@HTreeClass@@QAEXABVMatrix3D@@PAVHAnimClass@@M1MM@Z,0x001645B0,4712,Code/Libraries/Source/WWVegas/WW3D2/animobj.cpp,reloc-derived;call-sites=1;identity=real
?Combo_Update@HTreeClass@@QAEXABVMatrix3D@@PAVHAnimComboClass@@@Z,0x00165820,2277,Code/Libraries/Source/WWVegas/WW3D2/animobj.cpp,reloc-derived;call-sites=1;identity=real
??0BfmeRva00166110@@QAE@ABV0@@Z,0x00166110,175,Code/Libraries/Source/WWVegas/WW3D2/HTreeClassCopyConstructor.cpp,reloc-derived;call-sites=1;identity=generated
?get_planes@MeshGeometryClass@@IAEPAVVector4@@_N@Z,0x0016AC00,136,Code/Libraries/Source/WWVegas/WWLib/Rva00925030GetPlanesChecked.cpp,reloc-derived;call-sites=1;identity=real
?Scale@MeshGeometryClass@@QAEXABVVector3@@@Z,0x0016B3F0,652,Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp,reloc-derived;call-sites=1;identity=real
??$_Construct@U?$pair@$$CBW4NameKeyType@@VFXList@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4NameKeyType@@VFXList@@@0@ABU10@@Z,0x0016CC30,29,Code/GameEngine/Source/GameClient/FXList.cpp,reloc-derived;call-sites=1;identity=real
??$_M_find@VAsciiString@@@?$hashtable@U?$pair@$$CBVAsciiString@@PAVThingTemplate@@@_STL@@VAsciiString@@U?$hash@VAsciiString@@@rts@@U?$_Select1st@U?$pair@$$CBVAsciiString@@PAVThingTemplate@@@_STL@@@2@U?$equal_to@VAsciiString@@@5@V?$allocator@U?$pair@$$CBVAsciiString@@PAVThingTemplate@@@_STL@@@2@@_STL@@ABEPAU?$_Hashtable_node@U?$pair@$$CBVAsciiString@@PAVThingTemplate@@@_STL@@@1@ABVAsciiString@@@Z,0x0016D710,70,Code/GameEngine/Source/Common/Thing/ThingFactory.cpp,reloc-derived;call-sites=1;identity=real
?_M_insert@?$_Rb_tree@UGen_p12pod@@U?$pair@$$CBUGen_p12pod@@H@_STL@@U?$_Select1st@U?$pair@$$CBUGen_p12pod@@H@_STL@@@3@U?$less@UGen_p12pod@@@3@V?$allocator@U?$pair@$$CBUGen_p12pod@@H@_STL@@@3@@_STL@@AAE?AU?$_Rb_tree_iterator@U?$pair@$$CBUGen_p12pod@@H@_STL@@U?$_Nonconst_traits@U?$pair@$$CBUGen_p12pod@@H@_STL@@@2@@2@PAU_Rb_tree_node_base@2@0ABU?$pair@$$CBUGen_p12pod@@H@2@0@Z,0x0016DBC0,182,Code/Libraries/Source/WWVegas/WWLib/RvaMapIndexGenP12pod00928690.cpp,reloc-derived;call-sites=2;identity=real
??0MaterialCollectorClass@@QAE@XZ,0x00170240,163,Code/Libraries/Source/WWVegas/WW3D2/meshmdlio.cpp,reloc-derived;call-sites=1;identity=real
??0MeshModelClass@@QAE@ABV0@@Z,0x00172940,361,Code/Libraries/Source/WWVegas/WW3D2/MeshClassMakeUnique.cpp,reloc-derived;call-sites=1;identity=real
?update_cached_box@OBBoxRenderObjClass@@MAEXXZ,0x001758C0,251,Code/Libraries/Source/WWVegas/WW3D2/boxrobj.cpp,reloc-derived;call-sites=2;identity=real
??0BoxRenderObjClass@@QAE@ABUW3dBoxStruct@@@Z,0x00175A40,266,Code/Libraries/Source/WWVegas/WW3D2/boxrobj.cpp,reloc-derived;call-sites=1;identity=real
?Render@PointGroupClass@@QAEXAAVRenderInfoClass@@H@Z,0x0017F400,725,Code/Libraries/Source/WWVegas/WW3D2/part_buf.cpp,reloc-derived;call-sites=1;identity=real
?Get_HTree@@YAPAVHTreeClass@@PBD@Z,0x0017FC7C,179,Code/Libraries/Source/WWVegas/WW3D2/animobj.cpp,reloc-derived;call-sites=1;identity=real
??1RoadType@@QAE@XZ,0x0018E750,213,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp,reloc-derived;call-sites=1;identity=real
?Render@SegLineRendererClass@@QAEXAAVRenderInfoClass@@ABVMatrix3D@@IPAVVector3@@ABVSphereClass@@PAVVector4@@@Z,0x00191C10,15998,Code/Libraries/Source/WWVegas/WW3D2/SegmentedLineRenderSegLineThunk.cpp,reloc-derived;call-sites=3;identity=real
?Render@LineGroupClass@@QAEXAAVRenderInfoClass@@@Z,0x001B38A0,4361,Code/Libraries/Source/WWVegas/WW3D2/part_buf.cpp,reloc-derived;call-sites=1;identity=real
??1Snapshot@@QAE@XZ,0x001B4E74,14,Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp,reloc-derived;call-sites=1;identity=real
??1TransportContainModuleData@@UAE@XZ,0x001DFA48,60,Code/GameEngine/Source/GameLogic/Object/Contain/HelixContain.cpp,reloc-derived;call-sites=1;identity=real
?doFxAtBones@FXListAtBonePosFXNugget@@IBEXPBVObject@@H@Z,0x001E2DD6,283,Code/GameEngine/Source/GameClient/FXList.cpp,reloc-derived;call-sites=2;identity=real
??0AnimSet@GenericObjectCreationNugget@@QAE@ABU01@@Z,0x001F0558,77,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,reloc-derived;call-sites=1;identity=real
??$_Destroy@PAUAnimSet@GenericObjectCreationNugget@@@_STL@@YAXPAUAnimSet@GenericObjectCreationNugget@@0@Z,0x001F0801,25,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,reloc-derived;call-sites=1;identity=real
