uData	0x67c020
Team_/AI/Increase priority by Success Priority Increase amount.	0x3d46db
TEAM_INCREASE_PRIORITY	0x3d46db
 wander around it's current location.	0x3d46db
Team_/Move/Set to wander around current location.	0x3d46db
TEAM_WANDER_IN_PLACE	0x3d46db
 EXACTLY follow 	0x3d46db
Team_/Move/Set to EXACTLY follow a waypoint path.	0x3d46db
TEAM_FOLLOW_WAYPOINTS_EXACT	0x3d46db
 AttackMove follow 	0x3d46db
Team_/AttackMove/Set to follow a waypoint path.	0x3d46db
TEAM_ATTACK_MOVE_FOLLOW_WAYPOINTS	0x3d46db
 , in formation is 	0x3d46db
 , as a team is 	0x3d46db
 follow 	0x3d46db
Have 	0x3d46db
Team_/Move/Set to follow a waypoint path.	0x3d46db
TEAM_FOLLOW_WAYPOINTS	0x3d46db
 Home. 	0x3d46db
Team_/Move/Set to move home.	0x3d46db
MOVE_TEAM_HOME	0x3d46db
Team_/AttackMove/Attack move a team to a named object.	0x3d46db
ATTACK_MOVE_TEAM_TO_NAMED_OBJECT	0x3d46db
AttackMove 	0x3d46db
Team_/AttackMove/Set to move to a location.	0x3d46db
ATTACK_MOVE_TEAM_TO	0x3d46db
Move 	0x3d46db
Team_/Move/Set to move to a location.	0x3d46db
MOVE_TEAM_TO	0x3d46db
 to percentage (0.0 - 100.0) 	0x3d46db
Set health of 	0x3d46db
Team_/Health/Set the health of the team members (in percentage).	0x3d46db
TEAM_SET_HEALTH	0x3d46db
 (-1==kill).	0x3d46db
, amount=	0x3d46db
Damage 	0x3d46db
Team_/Damage/Damage the members of a team.	0x3d46db
DAMAGE_MEMBERS_OF_TEAM	0x3d46db
Multimedia_/Sound Effect/Play sound effect at waypoint.	0x3d46db
PLAY_SOUND_EFFECT_AT	0x3d46db
Scripting_/Script/Run subroutine script.	0x3d46db
CALL_SUBROUTINE	0x3d46db
Disable 	0x3d46db
Scripting_/Script/Disable script.	0x3d46db
DISABLE_SCRIPT	0x3d46db
Enable 	0x3d46db
Scripting_/Script/Enable Script.	0x3d46db
ENABLE_SCRIPT	0x3d46db
 as though it was a 2D sound (NOT RECOMMENDED for 3D sounds).	0x3d46db
Play 	0x3d46db
Multimedia_/Sound Effect/Play 2D sound effect.	0x3d46db
PLAY_SOUND_EFFECT	0x3d46db
Restart timer 	0x3d46db
Scripting_/Timer/Timer -- restart stopped.	0x3d46db
RESTART_TIMER	0x3d46db
Stop timer 	0x3d46db
Scripting_/Timer/Timer -- stop.	0x3d46db
STOP_TIMER	0x3d46db
 to expire between 	0x3d46db
Scripting_/Timer/Frame countdown timer -- set random.	0x3d46db
SET_RANDOM_TIMER	0x3d46db
 frames.	0x3d46db
 to expire in 	0x3d46db
Set timer 	0x3d46db
Scripting_/Timer/Frame countdown timer -- set.	0x3d46db
SET_TIMER	0x3d46db
Null operation. (Does nothing.)	0x3d46db
Scripting_/Debug/Null operation.	0x3d46db
NO_OP	0x3d46db
Announce lose.	0x3d46db
User_/ Announce lose	0x3d46db
DEFEAT	0x3d46db
Shows the victory screen, but does not behave as a victory.	0x3d46db
User_/ Show Victory Screen	0x3d46db
VICTORY_SCREEN	0x3d46db
Announce win.	0x3d46db
User_/ Announce win	0x3d46db
VICTORY	0x3d46db
End game in victory immediately.	0x3d46db
User_/ Announce quick win	0x3d46db
QUICKVICTORY	0x3d46db
 (1.0 = normal, < 1.0 shortens frustrum, > 1.0 lengthens.)	0x3d46db
Modify normal depth of Frustrum by 	0x3d46db
Camera/Adjust/Change the camera depth of field.	0x3d46db
SET_CAMERA_CLIP_DEPTH_MULTIPLIER	0x3d46db
(0=lock step, 1=large random variation).	0x3d46db
, randomness 	0x3d46db
, frames to take to sway once 	0x3d46db
, amount to lean with the wind 	0x3d46db
, amount to sway 	0x3d46db
Set wind direction to 	0x3d46db
Map_/Environment/Set wind sway amount and direction.	0x3d46db
SET_TREE_SWAY	0x3d46db
 seconds.	0x3d46db
Scripting_/Counters/Set a random counter in seconds.	0x3d46db
SET_RANDOM_COUNTER_IN_SECONDS	0x3d46db
 seconds. 	0x3d46db
Scripting_/Counters/Set counter to a time in seconds.	0x3d46db
SET_COUNTER_IN_SECONDS	0x3d46db
. WARNING: Will cause desyncs if used for multiplayer maps! Don't use unless you have a good reason!	0x3d46db
 to a CLIENT-SIDE random between 	0x3d46db
Scripting_/Counters/Set a counter to a random CLIENT-SIDE value.	0x3d46db
SET_COUNTER_TO_CLIENT_RANDOM_VALUE	0x3d46db
 and 	0x3d46db
 randomly between 	0x3d46db
Set Counter 	0x3d46db
Scripting_/Counters/Set a random counter.	0x3d46db
SET_RANDOM_COUNTER	0x3d46db
Scripting_/Counters/Set counter to another counter.	0x3d46db
SET_COUNTER_TO_COUNTER	0x3d46db
Scripting_/Counters/Set counter to a value.	0x3d46db
SET_COUNTER	0x3d46db
Scripting_/Flags/Set flag to another flag.	0x3d46db
SET_FLAG_TO_FLAG	0x3d46db
Scripting_/Flags/Set flag to value.	0x3d46db
SET_FLAG	0x3d46db
Display a crash box with the text: 	0x3d46db
{INTERNAL}_/Debug/Display a crash box (debug/internal builds only).	0x3d46db
DEBUG_CRASH_BOX	0x3d46db
Show debug string without pausing: 	0x3d46db
Scripting_/Debug/Display string	0x3d46db
DEBUG_STRING	0x3d46db
Show debug string and pause: 	0x3d46db
Scripting_/Debug/Display message and pause	0x3d46db
DEBUG_MESSAGE_BOX	0x3d46db
ringheroes	0x3e92b2
Experience	0x3f777f
Resource	0x3f1540
Connection	0x6bb240
SubObject	0x4972a9
LivingWorldRegionID	0x3efe82
PlayerWorldToMapMatchingData: You must specify an RTS player name	0x3f005f
PlayerWorldToMapMatchingData: Unknown sub-key '%s'	0x3f005f
PlayerWorldToMapMatchingData: You must specify a world player name	0x3f005f
Invalid data in LivingWorldRegion::ModuleData::BuildingRestriction::ParseINI	0x3f2576
Duplicate RTS Player names '%s' in PlayerWorldToMapMatchingData vector	0x3f25df
Duplicate World Player names '%s' in PlayerWorldToMapMatchingData vector	0x3f25df
LivingWorldBattle::ResolutionType	0x3f3fb6
LivingWorldBattleID	0x3f40bb
Unknown Living World Autio Resolve Battle Bonus type %s	0x3f777f
Duplicate MinCount entries of %d in Living World auto resolve battle bonus table	0x3f777f
Invalid data in SessionTask::ParseINI	0x3f8f2b
Invalid data in LogicTurn::ParseINI	0x3f907b
Invalid data in Tutorial::ParseINI	0x3f9258
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\LivingWorld\LivingWorldEyeTower.cpp	0x3f9a2b,0x3f9a99
EnablePlayerMagicButton	0x3fe88b
HighlightPlayerMagicButton	0x3fe8bb
HideScroll	0x3fe8eb
SetPlayerButtonsState	0x3fe924
_evenstar	0x3fe924
_ring	0x3fe924
SetPlayerMagicProgress	0x3fe954
HideSpellBook	0x3fe99c
PlayCommandPointEffect	0x3fe9bb
PlayPlayerSpellPointEffect	0x3fe9da
PlayPlayerLevelUpEffect	0x3fe9f9
SetResourceIconState	0x3fea72
FadeScreenToBlack	0x3febaa
FadeScreenRegionToMapBlack	0x3fec05
SetPlayerFaction	0x3fecca
MoveButtonFlash	0x3fed66
SlotState	0x3ff0b4
Invalid Category encountered by ModifierList::Category	0x403233
Civilian	0x437b4d
%X%X%X%X%X%X%X	0x407a6a
_level	0x412845
CloseWindow	0x5ec23e
Must provide a MinSciencePurchasePointsForBonus, and it must be >= 0	0x4135cd
Duplicate MinSciencePurchasePointsForBonus %d	0x4138c7
Bonus	0x4195ec
Unknown AutoResolveReinforcementSchedule type '%s'. Should be 'Attacker' or 'Defender'	0x413d58
Defender	0x413d58
Attacker	0x413d58
Must provide a MinResourceBonus, and it must be >= 0	0x413dcc
Duplicate MinResounceBonus %d	0x414009
You cannot use EVA: sound overrides in CrowdResponseTemplates (UnitSpecificSound block)	0x415218
You cannot use EVA: sound overrides in CrowdResponseTemplates	0x415218
 #HOST:	0x416143
%d %d %d	0x416143
GUIMessageBuddy	0x511620
Two BonusForLevel entries with duplicate MinLevel of %d	0x417ff0
Unknown LivingWorldAutoResolveLeadership %s	0x418143
AutoResolve_DefaultBody	0x418825
Duplicate hitpoint entries for level %d	0x4185e4
Level	0x4195ec,0x4185e4,0x41865f,0x4972a9,0x4afe6c
Hitpoints	0x4185e4
Duplicate regenerate rate entries for level %d	0x41865f
Regenerate	0x41865f
Unknown LivingWorldAutoResolveBody %s	0x418853
AutoResolve_DefaultCombatChain	0x419154
Cannot redefine attack priority for unit type %s	0x418f7d
Unknown LivingWorldAutoResolveCombatChain %s	0x419182
AutoResolve_DefaultWeapon	0x4196f8
Against	0x41951d
Duplicate LevelBonus entries for level %d	0x4195ec
Unknown LivingWorldAutoResolveWeapon %s	0x419726
fastgameplay	0x419ab8
die  Quits to desktop NOW! 	0x419ab8
game group help:   die 	0x419ab8
debug.io stringbuf add	0x419bfa
stringbuf	0x419bfa
internal string buffer	0x419bfa
MordorWorker	0x41ce99
A light point level %s already exists.	0x4214c3
MeleeBehavior	0x425ddd
AttributeModifier	0x425ddd
A MissionObjectiveList may only appear in a map.ini file.	0x426d14
_fadeIn	0x42d5dd
_fadeOut	0x5eb825,0x42d632
Cannot override AnimationSoundClientBehaviorGlobalSetting in map.ini	0x4330ee
DeleteButtonEnable	0x4340ac
LoadButtonEnable	0x4340ac
FileNameTextEntry	0x435172
AutoSaveList	0x435172
GameList	0x435172
SetBarTo	0x43a15d
Spell	0x43c832
_active	0x57ab16
SetSpellButtonState	0x43c8e4
OnClansFlagChange	0x43db6e
MapList	0x43eb1d
SetReadyState	0x43fb5c
_disabledChecked	0x43fb5c
_disabledUnchecked	0x43fb5c
_enabledUnchecked	0x43fb5c
_enabledChecked	0x43fb5c
_none	0x43fb5c
LanLobby::NameEntry	0x445da5
LanLobby::CustomGamesList	0x445da5
DoCreateGame	0x4469d1
DoJoinGame	0x446a1c
%s:%s	0x44d512
127.0.0.1	0x44a9e6,0x6ca190,0x6a2d90
Strat	0x44d512
AnimTime expected for SpecialAbilityUpdateModule::iniParseAnimAndDuration	0x44e6cd
TriggerTime	0x44e6cd
AnimTime	0x4aeb84,0x44e6cd
AnimState	0x4aeb84,0x44e6cd
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Behavior\BridgeBehavior.cpp	0x4565bd
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Behavior\ClickReactionBehavior.cpp	0x4596f9
iniParseQuery: Too many queries, can only have %d.	0x45a22e
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Behavior\SlowDeathBehavior.cpp	0x45d636
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Behavior\ShipSlowDeathBehavior.cpp	0x45ea66
StancesEnum	0x45ed66
ARROW_	0x463235
OpenContain::removeFromContain: Trying to remove an object from a container that does not currently contain it.	0x463509
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Contain\OpenContain.cpp	0x464b96
AnimState expected for TransportContain::iniParseAnim	0x4b6481
UnitType	0x47414d,0x46f288
'Target' expected	0x46f288
'Result' expected	0x46f288
RankNumber	0x47414d,0x46f288
SplitResult	0x46f288
'Position' expected	0x47414d
Invalid leader index '%s' specified, only 0..%i allowed	0x47414d
Leader index expected	0x47414d
No RankInfo for specified leader rank '%s'	0x47414d
Leader rank expected	0x47414d
Only one 'Leader' per 'Position'	0x47414d
'Leader' must be preceded by 'Position'	0x47414d
The Facing field is not supported.	0x47414d
Leader	0x47414d
RevokedWeaponCondition	0x47414d
GrantedWeaponCondition	0x47414d
Facing	0x47414d
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Contain\HordeContain\HordeTransportContain.cpp	0x477af3
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Contain\GarrisonContain.cpp	0x478d0a
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Contain\HordeContain\AODHordeContain.cpp	0x47b690
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Contain\HordeContain\HordeSiegeEngineContain.cpp	0x47ce0c
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Contain\TunnelContain.cpp	0x47e16b
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Die\CreateCrateDie.cpp	0x485444
'bone' expected	0x4871a7
'fxlist' expected	0x4b9a57,0x487200
fxlist	0x4b9a57,0x487200
'onlyonce' expected	0x4872af,0x487200,0x48735e
onlyonce	0x4872af,0x487200,0x48735e
'ocl' expected	0x4b9ac3,0x4872af
'psys' expected	0x4b9b2e,0x48735e
DockingDesync(DOZER) END: Object %s(%d) with target %s(%d) found docking position %g,%g,%g	0x489a07
DockingDesync(DOZER) END: Object %s(%d) with no target found docking position %g,%g,%g	0x489a07
DockingDesync(DOZER) BEGIN: Object %s(%d) with target %s(%d) at %g,%g,%g	0x489a07
    DozerActionPickActionPosState::update(), moving to goalPos %.03f, %.03f	0x48a4dd
    DozerActionPickActionPosState::update() goalPos is uninitialized	0x48a4dd
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\FireSpreadUpdate.cpp	0x48b7d9
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\ArrowStormUpdate.cpp	0x49083c
WeaponFireSpecialWeapon	0x4925e5
Invalid Weather setting: '%s'.	0x492f6a
'ModelState' expected	0x4972a9
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\OneRingPenaltyUpdate.cpp	0x499afd,0x499d23
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\OCLUpdate.cpp	0x49b3f3
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\SlavedUpdate.cpp	0x4a2144,0x4a24d3,0x4a1a69,0x4a1c77,0x4a1e3b,0x4a1fdc
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\StructureCollapseUpdate.cpp	0x4a425c,0x4a459b,0x4a46bf
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\RubbleRiseUpdate.cpp	0x4a4c3f,0x4a4f72
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\StructureToppleUpdate.cpp	0x4a6042,0x4a5c8c,0x4a54ce
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\DockUpdate\SupplyWarehouseDockUpdate.cpp	0x4a7e67
    positionOut=%g,%g,%g	0x4aa4fe
    TerrainLogic::FindPositionAround() workingPosition=%g,%g,%g, bestPosition=%g,%g,%g	0x4aa4fe
    spotFound=%s, bestPosition=%g,%g,%g, workingPosition=%g,%g,%g	0x4aa4fe
    workingPosition=%g,%g,%g	0x4aa4fe
    offset=%g,%g,%g, radius=%g	0x4aa4fe
    ourPosition=%g,%g,%g, theirPosition=%g,%g,%g	0x4aa4fe
    WorkerAIUpdate::findGoodBuildOrRepairPosition() BEGIN: Object %s(%d) with target %s(%d)	0x4aa4fe
  target has a bridge behavior	0x4aabb4
  target is a bridge case	0x4aabb4
  WorkerAIUpdate::findGoodBuildOrRepairPositionAndTarget() BEGIN: Object %s(%d) with target %s(%d)	0x4aabb4
DockingDesync(WORKER) END: Object %s(%d) with target %s(%d) found docking position %g,%g,%g	0x4aadb1
DockingDesync(WORKER) END: Object %s(%d) with no target found docking position %g,%g,%g	0x4aadb1
DockingDesync(WORKER) BEGIN: Object %s(%d) with target %s(%d) at %g,%g,%g	0x4aadb1
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\LargeGroupAudioUpdate.cpp	0x4ab7c8
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\RainOfFireUpdate.cpp	0x4ac2a8
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\DetachableRiderUpdate.cpp	0x4ae988
AnimState expected	0x4aeb84
AnimDuration expected	0x4aeb84
RiderOCL expected	0x4aeb84
RiderOCL	0x4aeb84
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry expecting 'AutoSpawn:Yes' or 'AutoSpawn:No' entry. You specified %s.	0x4afc5f
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry expecting 'Cost' entry. You specified %s.	0x4afc5f
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry expecting 'Time' entry. You specified %s.	0x4afc5f
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry expecting 'Health' entry. You specified %s.	0x4afc5f
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry for 'Health' is case sensitive. You specified %s.	0x4afc5f
Health	0x4afc5f,0x4afe6c
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry for 'Time' is case sensitive. You specified %s.	0x4afc5f
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry for 'Cost' is case sensitive. You specified %s.	0x4afc5f
RespawnUpdate::iniParseDefaultRule -- RespawnRules entry for 'AutoSpawn:Yes' or 'AutoSpawn:No' is case sensitive. You specified %s.	0x4afc5f
AutoSpawn	0x4afc5f,0x4afe6c
RespawnUpdate::iniParseDefaultRule -- Duplicate RespawnRules entry.	0x4afc5f
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry expecting 'Level' entry. You specified %s.	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry Level:%d entry for 'Health' is case sensitive. You specified %s.	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry Level:%d entry for 'Time' is case sensitive. You specified %s.	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry Level:%d Level:%d entry for 'Cost' exists multiple times. Please remove one!	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnRules Level:%d entry for 'Cost' is case sensitive. You specified %s.	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry Level:%d entry for 'Cost' exists multiple times. Please remove one!	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry Level:%d entry for 'AutoSpawn:Yes' or 'AutoSpawn:No' is case sensitive. You specified %s.	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry Level:%d entry for 'AutoSpawn:Yes' or 'AutoSpawn:No' exists multiple times. Please remove one!	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- Multiple 'RespawnEntry' with the same level of %d. You may only have one!	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- RespawnEntry for 'Level' is case sensitive. You specified %s.	0x4afe6c
RespawnUpdate::iniParseNewRuleForLevel -- You cannot parse a 'RespawnEntry' before 'RespawnRules'. Please add a 'RespawnRules' -- which represents level 1.	0x4afe6c
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Update\ReplaceObjectUpdate.cpp	0x4b2a9d
) for 	0x4b303f
Special power type is invalid for AISpecialPowerModule (	0x4b303f
. Command button not found: 	0x4b303f
) will not work for 	0x4b303f
AISpecialPower (	0x4b303f
you must specifly only two bit flags for a range.	0x4b65e4
bad colon spacing, or unexpected token in TransitionDamageFXModuleData::NeighborIDSubobjectNameDataAppend	0x688b10
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\Body\ActiveBody.cpp	0x4c0642
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\Drawable\Update\SwayClientUpdate.cpp	0x4c9125
An upgrade module references %s, which is not an Upgrade	0x4cb189
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\Drawable\Behavior\RandomSoundSelectorClientBehavior.cpp	0x4cbcf2
ERROR: ActivateModuleSpecialPower can not be used on it self! Check the INI for Object %s	0x4cddba
OBJECTPOS	0x4cdf2b
TARGETPOS	0x4cdf2b
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\AI\TurretAI.cpp	0x4d839a,0x4d8448
AI_UPGRADEHEURISTIC_BOILINGOIL	0x4dbfa1
AI_UPGRADEHEURISTIC_IMPORTANT	0x4dbfa1
Emotion type expected.	0x4dc702
Emotion AI type expected.	0x4dc745
PathfinderFootprintAngle	0x4dd619
LivingWorldBuildingID	0x4e075f
LivingWorldSpawnArmyID	0x4e12d7
InGameChatEntry	0x4e84ff
Unknown	0x63ce18
In an AIKINDOF list, each type may only appear once 	0x4e8d8c,0x4e8ea6
invalid AI_KINDOF 	0x4e8de7
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AIWallBuilder\AIWall.cpp	0x4eafbd
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AITacticalAI\AITacticsGenerator\AITactic.cpp	0x4ece61
RegionAwardDispute::DisputeType	0x4fbddf
LivingWorldBuildPlotID	0x4fc14b
Invalid data in PlayerDefeatCondition::ParseINI	0x4fd719
Invalid data in TeamDefeatCondition::ParseINI	0x4fd7fb,0x4fd77c
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\System\LivingWorld\LivingWorldAISupport\LivingWorldAIInformation.cpp	0x4ff910
UpgradeTroops	0x5c4a1d
StrengthenArmy	0x5c4720
ControlPoint::ParseINIBlock::Invalid data passed in.	0x503fd1
ColorControlPoint::ParseINIBlock::Invalid data passed in.	0x50407a
Function curve tangent angle value must be greater than -89.9 degrees	0x5046b0
Function curve tangent angle value must be less than 89.9 degrees	0x5046b0
Function curve time must be increasing	0x504f09
Function curve does not have any keyframes	0x50503c
'I' or 'O' expected, and only one of them	0x5050ea
OutPadding	0x5051da
InPadding	0x5051da
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AITacticalAI\AITargetChooser\AITargetChooser.cpp	0x5052ae
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Object\WeaponEffects\MetaImpactNugget.cpp	0x50a1e9,0x509f3a
index	0x74e560,0x74e650
_enabled	0x57baf8,0x5101e2
FlashTab1	0x511620
FlashTab0	0x511620
GUIMessageLobby	0x511620
MessengerButtonFlash	0x511620
ShowActiveTab	0x5118f3
Messenger::ChatTab_1	0x5119ff
Messenger::ChatTab_0	0x5119ff
Messenger::PlayersTab_1	0x5119ff
Messenger::PlayersTab_0	0x5119ff
Messenger::ChatEntry	0x5119ff
StopUpdatePosition	0x511e6d
CloseScreen	0x511e6d
HideKickButton	0x512ce9
ShowKickButton	0x512ce9
APT:DisconnectRules	0x51321a
RulesBox	0x51321a
ChatEntry	0x57fdef,0x51321a
ChatBox	0x51321a
Maps\CreateAHero\CreateAHero.map	0x513cdf
00000000.sav	0x51569f
ShowMainMenu	0x514950
HideCredits	0x514950
FlashTutorial	0x51508b
MainMenuToBattleSchool	0x51508b
PreParchmentMapFade_StartNew	0x5157ee
CreditsMenu	0x5158a7
OnlineHome	0x517724
OnlineLogin	0x517724
ChatMessageClose	0x516ee9
Restart	0x51af46
Forfeit	0x51af46
Surrender	0x51af46
RenameUnitsTextEntry	0x51c7cc
PersistentUnitsListBox	0x51c7cc
CloseProfilePopup	0x522a91,0x521841
CloseStats	0x521841
ShowMain	0x522290
ShowAddProfile	0x522290
ButtonReset	0x522290
CloseMain	0x522290
PlayButtonAttackedEffect	0x52557e
SetFaction	0x5255e2
SetSelectAllHeroesButtonState	0x525783
SetButtonState	0x5f92d5,0x5f921f,0x5f927a,0x5fd6d2,0x5fd677,0x5fd72d,0x52a804
SampleContentWidth	0x5279dd
HideRankInterface	0x528b98
HideRankProgress	0x529a7b
SetRankProgressBar	0x529a7b
ShowRankProgress	0x529a7b
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\System\LivingWorld\LivingWorldCampaign.cpp	0x52bbf3
description	0x660340,0x660720
AutoResolveWeapon entry in Object block: Weapon name MUST be specified	0x542997
AutoResolveArmor entry in Object block: Armor name MUST be specified	0x542b61
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\AI\AIGuard.cpp	0x543cc4
CritterDesync: setAdjustDestination(TRUE) 3	0x543cc4
CritterDesync: setAdjustDestination(FALSE) 1	0x544480
CritterDesync: setAdjustDestination(FALSE) 2	0x54467a
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\Ai\AIHarvest.cpp	0x544c62
Change	0x54ca4a
NonInteractive	0x54ca4a
Cancel	0x54ca4a
OkCancel	0x54ca4a
YesNo	0x54ca4a
LastLadderAddr	0x5df4b9
LastLadderPort	0x5df50a
DisallowAsianText	0x54f5de
DisallowNonAsianText	0x54f63a
IcmpSendEcho	0x54f99e
IcmpCloseHandle	0x54f99e
IcmpCreateFile	0x54f99e
ICMP.DLL	0x54f99e
challenge	0x55059f
ticket	0x55059f,0x675b60,0x675d40
http://gamestats.gamespy.com/lotrbme2/display.html	0x557ac2
http://gamestats.gamespy.com/lotrbme2/IsClanWarsEnabled.asp	0x557b04
Invalid Rule	0x55a04c
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\System\FXParticleSystem\fxpsemitterlinevolumemodule.cpp	0x55cdec
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\System\FXParticleSystem\fxpsemitterboxvolumemodule.cpp	0x55d0d5
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\System\FXParticleSystem\fxpsemitterspherevolumemodule.cpp	0x55d48c
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\System\FXParticleSystem\fxpsemittercylindervolumemodule.cpp	0x55d741
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameClient\System\FXParticleSystem\fxpsemittercylindervelocitymodule.cpp	0x55eb84
OffsetZ	0x6c01b0
OffsetY	0x6c01b0
ffsetX	0x6c01b0
ArmySummaryEntryID	0x56d63b
IEXPLORE.EXE	0x56e998,0x56e9eb,0x56ea3e
URL:LotrHome	0x56e998
URL:GameSpyHome	0x56e9eb
URL:LotrTOS	0x56ea3e
MoveButton	0x577cc5
EnableButtonInput	0x577d93
SetTimeRemainingState	0x57a8bd,0x57a861
CloseList	0x57a8f9
OpenList	0x57a92d
SetExpandButtonState	0x57a961
_inactive	0x57ab16
SetPhaseIndicatorState	0x57ab16
SetCurrentItemState	0x57ac27
SetItemListY	0x57ac8f
SetToggleButtonState	0x57baf8
UnloadContent	0x57c236
LoadContent	0x57c339
LivingWorld	0x57e25d
StrategicTerritoryDescription	0x57e25d
StrategicScenarioDescription	0x57e25d
StrategicScenarioType	0x57e25d
CurrentMap	0x57e25d
MapPicture	0x57e25d
MapDescription	0x57e25d
MapInfo	0x57e25d
RuleCheckBox_	0x57f036
RuleComboBox_	0x57f036
ClanName	0x57f9a3
ClanPlayers	0x57f9a3
ChatPlayers	0x57fdef
Deque must be empty on load	0x586231
std::deque	0x586231
AI_SPECIAL_POWER_CAPTURE_BUILDING	0x58a5c7
AI_SPECIAL_POWER_BASIC_SELF_BUFF	0x58a5c7
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AISpecialPowers\AISPecialPower.cpp	0x58add0
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AIDifficulty.cpp	0x58aebc,0x58afb3,0x58af47
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AIUpgrade\AIUpgradeScienceBuilder\AIUpgradeScienceBuilder.cpp	0x597983
C:\projects\bfme2patch103\bfme2\Code\GameEngine\Source\GameLogic\SkirmishAI\AIUpgrade\AIUnitUpgrader\AIUnitUpgrader.cpp	0x599264
