name,export_rva,target_rva,target_size,source,status,notes
??_G?$ConcreteModuleTemplate@V?$ModuleTag@$07$E?LIFE_EVENT_MODULE_KEY@FXParticleSystem@@3QBDB$E?LIFE_EVENT_MODULE_NAME@2@3QBDBVLifeEventModule@2@VLifeEventModuleTemplate@2@VParticleLifeEventModule@2@@FXParticleSystem@@@FXParticleSystem@@UAEPAXI@Z,,0x003AB92A,28,Code/GameEngine/Source/GameClient/FXParticleSystemFactories.cpp,matched,Open-BFME5 clean C++; found by locate
??_GPointEmissionVolumeModuleTemplate@FXParticleSystem@@UAEPAXI@Z,,0x001F4524,28,Code/GameEngine/Source/GameClient/FXParticleSystem.cpp,matched,Open-BFME5 clean C++; found by locate
??_G?$ConcreteModuleTemplate@V?$ModuleTag@$07$E?TERRAIN_COLLISION_MODULE_KEY@FXParticleSystem@@3QBDB$E?TERRAIN_COLLISION_MODULE_NAME@2@3QBDBVTerrainCollisionModule@2@VTerrainCollisionModuleTemplate@2@VParticleTerrainCollisionModule@2@@FXParticleSystem@@@FXParticleSystem@@UAEPAXI@Z,,0x003AA163,28,Code/GameEngine/Source/GameClient/FXParticleSystemModules.cpp,matched,Open-BFME5 clean C++; found by locate
??$_M_range_initialize@PAD@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@AAEXPAD0@Z,,0x00017790,23,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_num_put.cpp,matched,Open-BFME5 clean C++; found by locate; folded with the wide instantiation
??$_M_initialize_dispatch@PAD@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@AAEXPAD0ABU__false_type@1@@Z,,0x000177D0,13,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_string.cpp,matched,Open-BFME5 clean C++; found by locate
??$_M_append_dispatch@PAG@?$basic_string@GV?$char_traits@G@_STL@@V?$allocator@G@2@@_STL@@AAEAAV01@PAG0ABU__false_type@1@@Z,,0x00019CA0,13,Code/Libraries/Source/WWVegas/WWLib/stlport_money_get_wide.cpp,matched,Open-BFME5 clean C++; found by locate; folded with the const instantiation
??$append@PAG@?$basic_string@GV?$char_traits@G@_STL@@V?$allocator@G@2@@_STL@@QAEAAV01@PAG0@Z,,0x00019D10,23,Code/Libraries/Source/WWVegas/WWLib/stlport_money_get_wide.cpp,matched,Open-BFME5 clean C++; found by locate; folded with the const instantiation
?deallocate@?$_STLP_alloc_proxy@PADDV?$allocator@D@_STL@@@_STL@@QAEXPADI@Z,,0x006892B0,18,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_string_insert_aux.cpp,matched,Open-BFME5 clean C++; found by locate; folded with the wide instantiation
??0?$CSimpleArray@GV?$CSimpleArrayEqualHelper@G@ATL@@@ATL@@QAE@XZ,,0x0065D7F0,13,Code/Libraries/Source/ATL/atlbase.cpp,matched,Open-BFME5 clean C++; found by locate
?_M_delete_node@?$hashtable@U?$pair@$$CBHH@_STL@@HU?$hash@H@2@U?$_Select1st@U?$pair@$$CBHH@_STL@@@2@U?$equal_to@H@2@V?$allocator@U?$pair@$$CBHH@_STL@@@2@@_STL@@AAEXPAU?$_Hashtable_node@U?$pair@$$CBHH@_STL@@@2@@Z,,0x0016CBF0,18,Code/Libraries/Source/WWVegas/WWLib/stlport_hash_map_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?clear@?$hashtable@U?$pair@$$CBHH@_STL@@HU?$hash@H@2@U?$_Select1st@U?$pair@$$CBHH@_STL@@@2@U?$equal_to@H@2@V?$allocator@U?$pair@$$CBHH@_STL@@@2@@_STL@@QAEXXZ,,0x00620770,84,Code/Libraries/Source/WWVegas/WWLib/stlport_hash_map_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?_M_destroy_nodes@?$_Deque_base@HV?$allocator@H@_STL@@@_STL@@IAEXPAPAH0@Z,,0x00620200,43,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?_M_pop_back_aux@?$deque@HV?$allocator@H@_STL@@@_STL@@IAEXXZ,,0x00620350,49,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?pop_back@?$deque@HV?$allocator@H@_STL@@@_STL@@QAEXXZ,,0x00620600,64,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?pop_front@?$deque@HV?$allocator@H@_STL@@@_STL@@QAEXXZ,,0x00620640,67,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?_M_pop_front_aux@?$deque@HV?$allocator@H@_STL@@@_STL@@IAEXXZ,,0x0073BF10,48,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
??1?$_Deque_base@HV?$allocator@H@_STL@@@_STL@@QAE@XZ,,0x0073C8C0,46,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?erase@?$_Rb_tree@HU?$pair@$$CBHH@_STL@@U?$_Select1st@U?$pair@$$CBHH@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHH@_STL@@@2@@_STL@@QAEXU?$_Rb_tree_iterator@U?$pair@$$CBHH@_STL@@U?$_Nonconst_traits@U?$pair@$$CBHH@_STL@@@2@@2@0@Z,,0x0061F7B0,141,Code/Libraries/Source/WWVegas/WWLib/stlport_map_int_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?erase@?$_Rb_tree@HU?$pair@$$CBHH@_STL@@U?$_Select1st@U?$pair@$$CBHH@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHH@_STL@@@2@@_STL@@QAEXU?$_Rb_tree_iterator@U?$pair@$$CBHH@_STL@@U?$_Nonconst_traits@U?$pair@$$CBHH@_STL@@@2@@2@@Z,,0x00620280,50,Code/Libraries/Source/WWVegas/WWLib/stlport_map_int_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
??F?$_Rb_tree_iterator@U?$pair@$$CBHH@_STL@@U?$_Nonconst_traits@U?$pair@$$CBHH@_STL@@@2@@_STL@@QAEAAU01@XZ,,0x00169EF0,20,Code/Libraries/Source/WWVegas/WWLib/stlport_map_int_int.cpp,matched,Open-BFME5 clean C++; found by locate with the node allocator and CRT import decorations neutralised
?resize@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAEXI@Z,,0x00157E50,15,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_string.cpp,matched,Open-BFME5 clean C++; found by locate
??4?$vector@U?$pair@HH@_STL@@V?$allocator@U?$pair@HH@_STL@@@2@@_STL@@QAEAAV01@ABV01@@Z,,0x00627CC0,208,Code/Libraries/Source/WWVegas/WWLib/stlport_vector_pair.cpp,matched,Open-BFME5 clean C++; found by locate
?do_put@?$time_put@DV?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@@_STL@@MBE?AV?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@2@V32@AAVios_base@2@DPBUtm@@DD@Z,,0x00009EF0,108,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_time_put_do_put.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; narrow twin of 0x0000F680
??$__write_decimal_backward@_J@_STL@@YAPADPAD_JHABU__true_type@0@@Z,,0x0000D250,124,Code/Libraries/Source/WWVegas/WWLib/stlport_write_decimal_backward_64.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; the __int64 instantiation
??$__write_integer_backward@_J@_STL@@YAPADPADH_J@Z,,0x0000D180,206,Code/Libraries/Source/WWVegas/WWLib/stlport_write_integer_backward_int64.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; signed twin of 0x0000CF60
?_M_do_lock@?$_STLP_mutex_spin@$0A@@_STL@@SAXPCJ@Z,,0x00007690,235,Code/Libraries/Source/WWVegas/WWLib/stlport_mutex_spin.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3 spin lock
?_M_acquire_lock@_STLP_mutex_base@_STL@@QAEXXZ,,0x00007820,8,Code/Libraries/Source/WWVegas/WWLib/stlport_mutex_acquire.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3
??$mismatch@V?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@PBG@_STL@@YA?AU?$pair@V?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@PBG@0@V?$istreambuf_iterator@GV?$char_traits@G@_STL@@@0@0PBG@Z,,0x00012CA0,99,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_mismatch.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; wide twin of 0x00011C30
??0?$basic_string@GV?$char_traits@G@_STL@@V?$allocator@G@2@@_STL@@QAE@ABV01@@Z,,0x0000EA90,102,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_string_copy_ctor.cpp,matched,STLport 4.5.3 wide string copy constructor; the narrow twin at 0x00009170 mirrored with get_allocator instead of a default-constructed allocator and the three-argument range initialiser
?do_get@?$num_get@GV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@MBE?AV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@2@V32@0AAVios_base@2@AAHAA_J@Z,,0x0000A530,47,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_num_get.cpp,matched,STLport 4.5.3 wide num_get do_get for __int64; found as a vtable slot rather than through a caller - it is a virtual - and sized by the next claimed row. The vendored instantiation already produced it
?do_get@?$num_get@GV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@MBE?AV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@2@V32@0AAVios_base@2@AAHAAK@Z,,0x0000A8F0,47,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_num_get.cpp,matched,STLport 4.5.3 wide num_get do_get for unsigned long; found as a vtable slot rather than through a caller - it is a virtual - and sized by the next claimed row. The vendored instantiation already produced it
?do_get@?$num_get@GV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@MBE?AV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@2@V32@0AAVios_base@2@AAHAAG@Z,,0x0000ABB0,47,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_num_get.cpp,matched,STLport 4.5.3 wide num_get do_get for unsigned short; found as a vtable slot rather than through a caller - it is a virtual - and sized by the next claimed row. The vendored instantiation already produced it
?do_get@?$num_get@GV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@MBE?AV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@2@V32@0AAVios_base@2@AAHAAJ@Z,,0x0000AE70,47,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_num_get.cpp,matched,STLport 4.5.3 wide num_get do_get for long; found as a vtable slot rather than through a caller - it is a virtual - and sized by the next claimed row. The vendored instantiation already produced it
?underflow@?$basic_filebuf@GV?$char_traits@G@_STL@@@_STL@@MAEGXZ,,0x00015E90,10,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_filebuf_underflow.cpp,matched,STLport 4.5.3 wide filebuf underflow - found as the vtable slot after xsgetn and confirmed by the body: ten bytes forwarding to _Underflow::_M_doit at 0x00015EA0 which is the next claimed row. Needs /Ob0 or cl inlines _M_doit into it
?underflow@?$basic_filebuf@DV?$char_traits@D@_STL@@@_STL@@MAEHXZ,,0x00013D90,10,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf_underflow.cpp,matched,STLport 4.5.3 narrow filebuf underflow - slot 7 of the narrow filebuf vtable which lines up with the wide vtable slot for slot. Ten bytes forwarding to _Underflow::_M_doit at 0x0001E560. Needs /Ob0 like its wide twin or cl inlines _M_doit into it
?setbuf@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEPAV12@PAGH@Z,,0x00013570,5,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_streambuf.cpp,matched,STLport 4.5.3 wide streambuf base default - slot 1 - returns this unchanged with mov eax ecx / ret 8. Found by reading the wide streambuf vtable against the filebuf vtable that overrides it
?sync@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEHXZ,,0x0065CE90,3,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_streambuf.cpp,matched,STLport 4.5.3 wide streambuf base default - slot 4 - returns 0 with xor eax eax / ret. Folded with showmanyc which slot 5 holds at the same address. Found by reading the wide streambuf vtable against the filebuf vtable that overrides it
?underflow@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEGXZ,,0x00013920,5,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_streambuf.cpp,matched,STLport 4.5.3 wide streambuf base default - slot 7 - returns eof with or ax 0xFFFF / ret. Found by reading the wide streambuf vtable against the filebuf vtable that overrides it
